school_id,rcdts_id
400027,15016299025201C
609966,150162990252242
610201,150162990252486
609819,150162990252103
609854,150162990252155
609971,150162990252246
609680,150162990250796
610010,150162990252284
609939,150162990252236
610257,150162990252844
610163,150162990253762
609736,150162990250798
610396,150162990252943
609977,150162990252903
400126,15016299025004C
610383,150162990250835
610056,150162990252334
610070,150162990252349
609723,150162990250029
609896,150162990252172
609737,150162990250046
610281,150162990252785
610131,150162990252406
610006,150162990252280
610182,150162990252461
609900,150162990252799
610111,150162990252391
609745,150162990253765
610096,150162990252373
609988,150162990252260
400033,15016299025201C
609944,150162990252622
610242,150162990252093
609983,150162990252256
609837,150162990252120
610093,150162990252369
610018,150162990252845
609710,150162990250016
609929,150162990252210
610226,150162990252914
610394,150162990250829
609855,150162990252904
609926,150162990252207
610276,150162990252354
610364,150162990252173
400123,15016299025004C
610132,150162990252809
610011,150162990252285
609783,150162990253075
609870,150162990252145
609955,150162990252231
609691,150162990250825
609774,150162990252053
610218,150162990252502
400148,15016299025020C
610016,150162990252293
610073,150162990252353
610200,150162990252484
610248,150162990252920
610299,150162990252267
609904,150162990252187
610026,150162990252299
400030,15016299025201C
400144,15016299025004C
609924,150162990252206
610043,150162990252319
400072,15016299025203C
609773,150162990252052
609829,150162990252109
609805,150162990252775
609949,150162990252226
609850,150162990252227
609733,150162990250042
609806,150162990252090
610004,150162990252637
610180,150162990252460
400023,15016299025201C
400117,15016299025006C
609928,150162990252209
609859,150162990252134
400009,15016299025229C
610279,150162990252479
609781,150162990252061
609865,150162990252889
610136,150162990252410
610167,150162990252446
610529,150162990250855
610188,150162990252177
400049,15016299025221C
400150,15016299025004C
400075,15016299025204C
610221,150162990252505
400134,15016299025004C
609864,150162990252139
610219,150162990252503
610005,150162990252276
610054,150162990252331
610199,150162990252918
609880,150162990252805
609720,150162990250027
610143,150162990252419
609943,150162990252222
610178,150162990252442
610363,150162990252160
609894,150162990252169
609741,150162990250020
400025,15016299025201C
609857,150162990252133
610329,150162990252842
400086,15016299025010C
609842,150162990252876
609930,150162990252211
610040,150162990252316
400147,150162990250862
610078,150162990252358
610197,150162990252478
400097,15016299025006C
609734,150162990250043
610350,150162990252086
400131,15016299025004C
610075,150162990253116
610120,150162990252398
400080,15016299025205C
610237,150162990252079
609789,150162990252067
609827,150162990252107
609832,150162990252112
609975,150162990252636
400108,15016299025201C
609694,150162990250779
610117,150162990252396
610100,150162990252908
610229,150162990252510
610086,150162990252362
400098,15016299025006C
610304,150162990250803
400047,15016299025208C
400106,15016299025006C
609798,150162990252081
610293,150162990252352
609800,150162990252083
609817,150162990252101
609826,150162990252106
609935,150162990252213
610234,150162990252542
609799,150162990252082
610238,150162990252088
610137,150162990252412
609884,150162990252158
400057,15016299025006C
609893,150162990252167
610029,150162990252303
610102,150162990252381
400087,15016299025007C
609856,150162990252132
610515,150162990252949
610217,150162990252501
609873,150162990252147
609917,150162990252202
610269,150162990252344
610209,150162990252494
610321,150162990252882
609941,150162990252807
609844,150162990252123
610389,150162990250847
610129,150162990252404
400112,15016299025205C
609933,150162990252212
609888,150162990252927
609967,150162990252893
610405,150162990252941
400141,15016299025004C
610153,150162990252429
400073,15016299025203C
400120,15016299025205C
610555,150162990253793
610291,150162990252703
610101,150162990252380
610145,150162990252422
400021,15016299025228C
610369,150162990252046
609920,150162990252806
610223,150162990252506
610032,150162990252048
610036,150162990252311
609759,150162990250545
609702,150162990250008
609698,150162990250003
609852,150162990252129
610520,150162990252955
610282,150162990252634
609919,150162990252204
610244,150162990250827
609753,150162990250772
609912,150162990252198
609883,150162990252153
610003,150162990252617
400115,15016299025232C
609707,150162990250766
400102,15016299025016C
610091,150162990252367
400038,150162990250846
400070,150162990253788
400128,15016299025004C
610368,150162990252620
609738,150162990250047
400113,15016299025201C
610523,150162990252953
610130,150162990252405
610352,150162990252933
400119,15016299025019C
610386,150162990253784
610319,150162990252873
610256,150162990252724
400114,15016299025205C
610105,150162990252384
610183,150162990252462
609692,150162990250537
400133,15016299025004C
610357,150162990250818
610108,150162990252387
609791,150162990252069
400048,15016299025208C
609947,150162990252224
609682,150162990250536
610521,150162990252954
609739,150162990250048
609973,150162990252897
400010,15016299025009C
400013,15016299025008C
400031,15016299025201C
609730,150162990250037
610112,150162990252392
400137,15016299025004C
609695,150162990250001
610251,150162990252127
609968,150162990252877
610308,150162990253735
400139,15016299025004C
610172,150162990252453
610124,150162990252401
610135,150162990252409
610065,150162990252766
400061,15016299025003C
400012,15016299025227C
609820,150162990252104
609762,150162990250763
609950,150162990252898
610060,150162990252283
609716,150162990250023
609780,150162990252912
400034,15016299025201C
610245,150162990250831
610254,150162990252179
400094,15016299025015C
400044,15016299025215C
609782,150162990252062
610220,150162990252504
610203,150162990252488
610499,150162990250841
610239,150162990252837
400060,15016299025214C
609951,150162990252895
610146,150162990252423
610030,150162990252304
400135,15016299025004C
610198,150162990252480
610002,150162990252275
609728,150162990250035
400105,15016299025013C
609942,150162990252220
610094,150162990252370
610099,150162990252376
609676,150162990250531
400111,15016299025208C
610544,150162990252966
610157,150162990252435
609863,150162990252138
610284,150162990252930
609796,150162990252078
610530,150162990252960
609740,150162990250049
609766,150162990253753
610524,150162990250849
610252,150162990252154
609674,150162990250526
610312,150162990252737
610390,150162990250828
610297,150162990250806
400020,15016299025223C
610128,150162990252773
400046,15016299025208C
609908,150162990252191
610027,150162990252300
610305,150162990252714
610287,150162990252922
610147,150162990252426
610176,150162990252457
609960,150162990252239
610355,150162990252921
400056,15016299025006C
610216,150162990252500
400077,15016299025204C
610116,150162990252395
610541,150162990252964
609812,150162990252097
610142,150162990252417
400022,150162990250851
609907,150162990252190
610325,150162990252881
400107,15016299025208C
610274,150162990252290
610095,150162990252371
610174,150162990252455
400101,15016299025205C
609972,150162990252247
609986,150162990252258
609809,150162990252094
610367,150162990252605
609769,150162990253715
610354,150162990252935
610504,150162990253787
609813,150162990252098
609726,150162990250788
609761,150162990250543
400040,150162990252946
610115,150162990252394
609815,150162990252100
610097,150162990252374
610083,150162990253760
610208,150162990252492
400124,15016299025004C
609804,150162990252089
400076,15016299025204C
400064,15016299025003C
610139,150162990252414
609871,150162990253781
609803,150162990252087
609833,150162990252113
610121,150162990252281
610295,150162990252266
610092,150162990252368
609830,150162990252110
609808,150162990252092
610366,150162990252497
609715,150162990250022
609991,150162990252263
610177,150162990252458
400089,15016299025205C
609754,150162990250795
610037,150162990252313
610141,150162990252416
609956,150162990252232
609902,150162990252804
609679,150162990250534
610317,150162990252870
609724,150162990250030
610533,150162990252958
609898,150162990252181
610316,150162990252743
609807,150162990252916
610110,150162990252902
609885,150162990252159
609964,150162990252241
610152,150162990252428
400125,15016299025004C
610034,150162990252309
610179,150162990252459
609876,150162990252149
610250,150162990252706
400145,15016299025004C
610385,150162990250836
400081,15016299025205C
610213,150162990252498
609918,150162990252203
610228,150162990252514
400146,15016299025234C
610017,150162990252829
400019,15016299025222C
609705,150162990250012
610502,150162990250842
609958,150162990252811
609969,150162990252244
609872,150162990252864
609862,150162990252136
609795,150162990252700
400116,15016299025233C
610557,150162990253794
400035,15016299025217C
610345,150162990252521
609952,150162990252229
610022,150162990252296
610506,150162990250843
610038,150162990252314
400069,15016299025226C
609985,150162990252257
400053,15016299025006C
609729,150162990250036
609818,150162990252102
400109,15016299025017C
400127,15016299025004C
610021,150162990252862
609895,150162990252826
400083,15016299025205C
609794,150162990252184
610012,150162990252287
610271,150162990252288
610353,150162990252934
610051,150162990252915
609845,150162990252372
610106,150162990252385
610339,150162990252464
609979,150162990252254
610076,150162990252356
610084,150162990252739
610227,150162990252513
610104,150162990252383
609867,150162990252142
610532,150162990252597
609997,150162990252270
609746,150162990250025
400066,15016299025003C
400071,15016299025224C
400143,15016299025004C
609748,150162990253600
400121,15016299025205C
609828,150162990252108
400079,15016299025205C
400017,15016299025008C
400091,150162990250850
609712,150162990250019
610175,150162990252456
609732,150162990250041
610548,150162990252967
400042,15016299025011C
609994,150162990252265
609751,150162990250039
610082,150162990252361
610170,150162990252919
609891,150162990252937
610138,150162990252413
609937,150162990252214
610558,150162990250861
609727,150162990250034
610347,150162990252936
609995,150162990252268
400028,15016299025201C
610009,150162990252878
610215,150162990252838
609755,150162990250764
610074,150162990252355
609993,150162990252900
610534,150162990252959
609849,150162990252126
610202,150162990252487
610133,150162990252767
400039,15016299025219C
610126,150162990252402
609779,150162990252059
609792,150162990252070
610501,150162990250840
610402,150162990250832
610155,150162990252434
400018,150162990250839
610048,150162990252326
610249,150162990252926
609790,150162990252068
610206,150162990252490
400054,15016299025006C
610362,150162990252193
609961,150162990252823
609910,150162990252194
609976,150162990252252
400024,15016299025201C
610542,150162990252965
400068,150162990252951
610039,150162990252315
609853,150162990252130
609760,150162990250006
609718,150162990250024
610013,150162990252289
610191,150162990252468
609903,150162990252185
610000,150162990252273
610052,150162990252328
610148,150162990252886
609744,150162990253743
400045,15016299025231C
609851,150162990252128
610059,150162990252337
610171,150162990252452
610300,150162990252507
609810,150162990252095
610192,150162990252472
610391,150162990250833
400136,15016299025004C
610298,150162990252856
610263,150162990252175
610098,150162990252375
610381,150162990250834
610062,150162990252339
609981,150162990252255
609725,150162990250031
400130,15016299025004C
610290,150162990252802
610323,150162990250824
609749,150162990250794
610518,150162990250844
610225,150162990252512
400092,15016299025201C
610195,150162990252476
610184,150162990252469
610107,150162990252386
609925,150162990252892
610067,150162990252346
609793,150162990252072
610159,150162990252438
610055,150162990252195
400011,15016299025206C
610053,150162990252330
400052,15016299025006C
609927,150162990252618
609963,150162990252240
610158,150162990252436
610047,150162990252324
609735,150162990250044
400078,15016299025204C
610230,150162990252516
609797,150162990252080
609768,150162990250799
400051,15016299025006C
400055,15016299025006C
400104,15016299025012C
610334,150162990250826
609959,150162990252235
610193,150162990252474
610122,150162990252399
609922,150162990252923
610194,150162990252475
609764,150162990250767
610513,150162990250848
609899,150162990252182
610046,150162990252323
610144,150162990252421
609786,150162990252063
610066,150162990252345
609756,150162990250617
610127,150162990252403
609835,150162990252118
400015,15016299025008C
609722,150162990250616
400050,15016299025218C
610081,150162990252451
609901,150162990252183
609693,150162990250857
610380,150162990250856
400085,15016299025205C
610063,150162990252341
610057,150162990252913
400062,15016299025003C
400093,15016299025014C
609874,150162990252603
609709,150162990250015
609839,150162990252122
609711,150162990250017
609834,150162990252896
610041,150162990252317
610503,150162990252945
610087,150162990253761
610392,150162990250830
610313,150162990252825
610547,150162990250860
609987,150162990252259
610044,150162990252321
609954,150162990252230
610185,150162990252465
400059,15016299025005C
400074,15016299025203C
610165,150162990252444
609938,150162990252215
610246,150162990252800
609777,150162990252058
609848,150162990252054
400084,15016299025205C
609704,150162990250011
610543,150162990250859
609945,150162990252223
609990,150162990252855
609879,150162990252150
610342,150162990252828
610340,150162990250820
610019,150162990252294
610559,150162990252968
609836,150162990252119
400096,15016299025230C
400029,15016299025201C
609861,150162990252135
609875,150162990252148
400026,15016299025201C
400036,15016299025225C
609869,150162990252704
400142,15016299025004C
610015,150162990252292
610315,150162990252729
400041,15016299025220C
610231,150162990252924
610207,150162990252491
610090,150162990252366
610173,150162990252454
609821,150162990252105
400082,15016299025205C
400043,150162990252961
609719,150162990250026
400118,15016299025006C
610123,150162990252400
610088,150162990252363
609713,150162990250021
610033,150162990252306
400058,15016299025005C
609996,150162990252269
609811,150162990252096
610103,150162990252382
610125,150162990252867
609750,150162990253732
400129,15016299025004C
610212,150162990252850
610077,150162990252357
610539,150162990252963
609897,150162990252180
609978,150162990252768
610235,150162990252525
609909,150162990252192
609708,150162990250013
400032,15016299025201C
609772,150162990252051
610268,150162990252437
609887,150162990252161
610196,150162990252477
610068,150162990252726
609788,150162990252066
610024,150162990252783
609678,150162990250533
609921,150162990252901
610109,150162990252389
609866,150162990252141
609974,150162990252249
610384,150162990250837
610089,150162990252365
