school_id,name
610105,ORIOLE PARK
609682,RICHARDS HS
609865,JORDAN
400113,CICS - CHICAGOQUEST HS
609919,FISKE
609927,FOSTER PARK
610342,SABIN
609762,JULIAN HS
400084,UNO - TAMAYO
610209,VOLTA
610312,MCDOWELL
400101,UNO - CISNEROS
609961,NINOS HEROES
400027,CICS - IRVING PARK
610101,OGDEN ES
400009,GLOBAL CITIZENSHIP
610503,FRAZIER PROSPECTIVE
610136,PRESCOTT
610345,WOODSON
609910,FALCONER
610177,SKINNER
610329,OROZCO
610543,SOLORIO HS
609893,DORE
400041,GALAPAGOS
609826,CASTELLANOS
609871,VICK
610129,PICKARD
609836,CANTY
610533,PRIETO
400169,NOBLE - ITW SPEER HS
610115,PARK MANOR
609705,FENGER HS
400114,UNO - SANTIAGO
609788,BARNARD
400144,YCCS - WESTSIDE HOLISTIC
609692,SIMEON HS
609753,CHICAGO AGRICULTURE HS
400047,LEARN - CAMPBELL
609708,FOREMAN HS
610201,THORP O
610195,SUTHERLAND
609749,NORTHSIDE PREP HS
610520,LASALLE II
610107,OTIS
610513,AIR FORCE HS
400145,YCCS - YOUTH CONNECTION
400055,NOBLE - RAUNER HS
400148,INSTITUTO - LOZANO HS
610106,PICCOLO
400073,SHABAZZ - DUSABLE HS
400176,CAMELOT - EXCEL SOUTHWEST HS
610581,MAGIC JOHNSON - BRAINERD HS
400062,PERSPECTIVES - TECH HS
610009,GALILEO
400077,U OF C - WOODLAWN HS
609996,HOLDEN
400018,AUSTIN BUS & ENTRP HS
609759,CLEMENTE HS
609971,HARVARD
610532,HERNANDEZ
609830,BRUNSON
610557,PATHWAYS - ASHBURN HS
610281,POWELL
609918,FIELD
609959,HAINES
610120,PECK
400164,INSTITUTO - LOZANO MASTERY HS
610016,KELLOGG
400021,CATALYST - CIRCLE ROCK
609715,KELLY HS
610564,DISNEY II HS
609733,SULLIVAN HS
609760,CARVER MILITARY HS
609900,CURTIS
610381,BRONZEVILLE HS
610171,MIRELES
610566,MAGIC JOHNSON - N LAWNDALE HS
400092,CICS - BOND
610172,SHERMAN
400163,KIPP CHICAGO - BLOOM
609772,ADDAMS
609856,CLAY
610142,RAY
610091,BROWN R
610268,ASHE
610276,MOLLISON
400026,CICS - LOOMIS
610284,NEW FIELD
609832,BYRNE
400056,NOBLE - ROWE CLARK HS
610029,LOZANO
609842,CARSON
400029,CICS - WASHINGTON PARK
400105,URBAN PREP - BRONZEVILLE HS
609720,LANE TECH HS
610092,NASH
609988,HENRY
610390,RICKOVER MILITARY HS
400060,AHS - PASSAGES
610096,NIGHTINGALE
610068,HANSON PARK
609857,CLEVELAND
610052,MANN
400118,NOBLE - DRW HS
609898,EBERHART
609764,JUAREZ HS
400031,CICS - WRIGHTWOOD
609963,HAMILTON
610499,COLLINS HS
610100,WEST PARK
610364,DUBOIS
610347,CLAREMONT
609761,CORLISS HS
610110,WELLS ES
610249,TALMAN
400044,KIPP - ASCEND
610207,VANDERPOEL
609849,CASSELL
610109,OWEN
400025,CICS - BUCKTOWN
400050,NAMASTE
610060,JACKSON A
609750,SIMPSON HS
609887,DIXON
609920,KANOON
609744,NORTHSIDE LEARNING HS
610163,STOCK
610094,NETTELHORST
610011,JAMIESON
610121,IRVING
610057,FAIRFIELD
610123,PENN
400048,LEARN - EXCEL
610044,LOWELL
609866,COONLEY
610013,PILSEN
610219,WASHINGTON G ES
609798,BELDING
610038,LINCOLN
609885,DEWEY
609845,CARVER G
400028,CICS - PRAIRIE
609873,CROWN
400072,SHABAZZ - SHABAZZ
400083,UNO - PAZ
610216,WALSH
609812,BROWN W
610558,GOODE HS
609944,GRISSOM
610200,THORP J
609870,CORKERY
609902,METCALFE
609904,ELLINGTON
609994,HIBBARD
610257,MORTON
610530,SOUTH SHORE
609745,SOUTHSIDE HS
609695,AMUNDSEN HS
609820,BURLEY
609853,CHASE
609933,GALE
400147,CAMELOT - CHICAGO EXCEL HS
610515,DISNEY II ES
609809,BRENTANO
609748,YORK HS
610245,DOUGLASS HS
400017,ASPIRA - HAUGAN
610141,RAVENSWOOD
609698,BOGAN HS
609732,STEINMETZ HS
610383,SOCIAL JUSTICE HS
610199,COLEMON
610248,CHICAGO ACADEMY ES
610542,WEST RIDGE
610125,RUIZ
609818,BURBANK
610033,LASALLE
610090,MURRAY
610244,CLARK HS
609769,GRAHAM HS
400107,LEARN - SOUTH CHICAGO
400162,INTRINSIC HS
609723,MARSHALL HS
610367,DEPRIEST
609713,HYDE PARK HS
610034,LAWNDALE
610176,SHOOP
610030,KOZMINSKI
610144,REILLY
610571,OMBUDSMAN - WEST HS
610529,OGDEN HS
609983,HEDGES
610559,SHIELDS MIDDLE
610108,OTOOLE
610145,REINBERG
609791,BASS
609941,RANDOLPH
609985,HEFFERAN
400087,YOUNG WOMENS HS
609799,BELL
610315,WHITE
400013,ASPIRA - EARLY COLLEGE HS
610053,MARQUETTE
610143,REAVIS
610295,HIGGINS
610563,BACK OF THE YARDS HS
400108,CICS - HAWKINS HS
609795,CLARK ES
610299,KING ES
610355,COURTENAY
400035,CHICAGO MATH & SCIENCE HS
609722,MANLEY HS
610170,COLUMBIA EXPLORERS
609888,DODGE
610212,ALBANY PARK
400059,NORTH LAWNDALE - COLLINS HS
609773,AGASSIZ
609835,CAMERON
610555,BANNER WEST HS
610567,MAGIC JOHNSON - ROSELAND HS
400167,HORIZON - SOUTHWEST
610017,SAUCEDO
610316,EARHART
400134,YCCS - ADDAMS
609990,SOUTH LOOP
609792,BATEMAN
609930,FUNSTON
609891,DOOLITTLE
610178,SCHMID
610196,SWIFT
609852,CHAPPELL
609938,GARY
609945,GOUDY
400142,YCCS - VIRTUAL
609883,DENEEN
609997,HOLMES
610305,LELAND
609979,HEALY
400128,YCCS - CCA ACADEMY
400130,YCCS - YOUTH DEVELOPMENT
400076,U OF C - NKO
400159,CHRISTOPHER HOUSE
610117,PASTEUR
400153,UNO - BRIGHTON PARK
609829,BURROUGHS
609834,LITTLE VILLAGE
610218,WARREN
610323,BOWEN HS
609774,ALCOTT ES
400126,YCCS - ASSOCIATION HOUSE
400127,YCCS - AUSTIN CAREER
609907,ERICSON
610217,WARD J
400121,UNO - ROGERS PARK
400120,UNO - CLEMENTE
610153,RYDER
609746,KENWOOD HS
610012,JENNER
610220,WATERS
609981,HEARST
400071,PROVIDENCE ENGLEWOOD
400109,PROLOGUE - JOHNSTON HS
609810,BRIDGE
609958,GUNSAULUS
610083,BEARD
609680,PAYTON HS
400068,PLATO
610340,CHICAGO ACADEMY HS
400081,UNO - DE LAS CASAS
609719,LAKE VIEW HS
610047,MADISON
400023,CICS - AVALON/SOUTH SHORE
609951,ARIEL
400124,YCCS - MCKINLEY
610242,BRENNEMANN
610501,AUSTIN POLY HS
609973,ZAPATA
400053,NOBLE - GOLDER HS
610366,WACKER
610389,ORR HS
610203,TONTI
400058,NORTH LAWNDALE - CHRISTIANA HS
609678,JONES HS
400157,NOBLE - BAKER HS
610369,JACKSON M
610239,DALEY
610194,SUMNER
400178,MOVING EVEREST
609972,HAUGAN
610147,ROGERS
610547,SOUTH SHORE INTL HS
400069,POLARIS
609837,CARNEGIE
609952,GREENE
610070,MCPHERSON
400117,NOBLE - HANSBERRY HS
610227,WHITNEY
610037,LIBBY
400139,YCCS - SULLIVAN
400173,PATHWAYS - BRIGHTON PARK HS
609928,FULLER
610054,MARSH
609766,VAUGHN HS
400075,U OF C - DONOGHUE
609839,CARROLL
610188,DUNNE
610506,TEAM HS
610298,LENART
400046,LEARN - BUTLER
610202,TILTON
609922,BELMONT-CRAGIN
400165,LEARN - MIDDLE
609899,EBINGER
610179,SMYSER
610137,PRUSSING
609956,GRIMES
610251,CATHER
610103,OKEEFFE
400141,YCCS - TRUMAN
609995,HITCH
610097,NIXON
610116,PARKSIDE
609725,MORGAN PARK HS
609879,DAWES
610093,NEIL
610004,CULLEN
610148,CHAVEZ
609908,ESMOND
610095,NEWBERRY
610174,SHIELDS
609789,BARRY
609716,KELVYN PARK HS
610238,BOND
610003,CUFFE
609711,HARPER HS
610046,LYON
609694,HANCOCK HS
610192,STOWE
609872,PEREZ
610582,MAGIC JOHNSON - ENGLEWOOD HS
609901,EDGEBROOK
610086,MOUNT VERNON
610539,CAMRAS
610229,PRITZKER
609876,DAVIS N
400012,AMANDLA HS
610082,MOUNT GREENWOOD
609674,CHICAGO VOCATIONAL HS
610313,DE DIEGO
610572,CAMELOT SAFE ES
610246,BEASLEY
400082,UNO - FUENTES
610250,SALAZAR
609734,TAFT HS
609861,CLISSOLD
610000,HOWE
609848,ALDRIDGE
400032,CICS - ELLISON HS
609796,BEAUBIEN
609966,HAMMOND
609803,BLAINE
610380,WILLIAMS HS
610022,KILMER
400089,UNO - MARQUEZ
609724,MATHER HS
610135,PORTAGE PARK
610350,BLACK
610152,RUGGLES
610319,EVERGREEN
610040,LLOYD
400119,LEGAL PREP HS
609815,BOUCHET
609859,CLINTON
610005,HUGHES C
400112,UNO - SOCCER ELEM
610056,MASON
610055,FARADAY
610157,SAWYER
400019,BRONZEVILLE LIGHTHOUSE
609780,MARINE LEADERSHIP AT AMES HS
400106,NOBLE - JOHNSON HS
609704,FARRAGUT HS
609729,SCHURZ HS
610352,DURKIN PARK
610584,CAMELOT SAFE - GARFIELD ES
400116,MONTESSORI ENGLEWOOD
610357,SPRY HS
610130,PIRIE
610102,OGLESBY
610182,SOLOMON
609917,FERNWOOD
609819,BURKE
610386,PEACE AND EDUCATION HS
610027,KIPLING
610048,MANIERRE
610394,UPLIFT HS
610321,MARSHALL MIDDLE
610279,TANNER
610197,TALCOTT
609975,HAY
609738,LINCOLN PARK HS
610290,MAYS
609895,TURNER-DREW
610173,SHERWOOD
610036,LEWIS
400078,U OF C - WOODSON
400172,ASPIRA - BUSINESS & FINANCE HS
609730,SENN HS
610133,WARD L
400052,NOBLE - COMER HS
609897,EARLE
610573,CAMELOT SAFE HS
610291,LEE
400070,PROLOGUE - EARLY COLLEGE HS
609790,BARTON
610075,MONTEFIORE
400039,ERIE
609864,COOK
610185,STEVENSON
610565,CAMELOT - EXCEL ENGLEWOOD HS
610228,WHITTIER
610165,SCHUBERT
609986,HENDERSON
609800,BENNETT
400102,URBAN PREP - WEST HS
610126,PERSHING
610392,WORLD LANGUAGE HS
610019,KERSHAW
609850,GREELEY
610073,MITCHELL
610580,MAGIC JOHNSON - HUMBOLDT PK HS
609903,EDWARDS
610226,SANDOVAL
610184,SPRY ES
609993,LARA
609955,GRESHAM
400137,LITTLE BLACK PEARL HS
610271,JENSEN
610051,NORTHWEST
400040,FRAZIER CHARTER
610206,TWAIN
400091,CHICAGO TECH HS
400036,CHICAGO VIRTUAL
609740,WELLS HS
609739,WASHINGTON HS
609874,DIRKSEN
610339,STAGG
609821,BURNHAM
609968,MCAULIFFE
400170,NOBLE - ACADEMY HS
610159,SCAMMON
610235,YOUNG ES
400038,COMMUNITY SERVICES WEST HS
400054,NOBLE - PRITZKER HS
609679,PROSSER HS
609827,BURNSIDE
610287,ASHBURN
610066,MCDADE
610548,STEM
609875,DARWIN
610024,CARDENAS
609804,BOONE
610254,DVORAK
609863,COLUMBUS
609712,HIRSCH HS
400129,YCCS - HOUSTON
609896,DRUMMOND
610146,REVERE
610074,MONROE
610032,GREEN
610098,NOBEL
609807,HAMPTON
609797,BEIDLER
400097,NOBLE - BULLS HS
400136,YCCS - OLIVE HARVEY
609950,ORTIZ DE DOMINGUEZ
400045,NKRUMAH
400156,NOBLE - BUTLER HS
400080,UNO - TORRES
400171,FOUNDATIONS
609726,BROOKS HS
610274,JOHNSON
400115,CATALYST - MARIA
400135,YCCS - LATINO YOUTH
609987,HENDRICKS
609854,CHOPIN
609709,GAGE PARK HS
609880,DECATUR
609937,GARVY
609794,EDISON
610084,KELLER
609737,VON STEUBEN HS
610132,POE
610155,SAUGANASH
400011,LOCKE A
610138,PULASKI
609869,LANGFORD
610010,JAHN
610039,VON LINNE
609777,ARMOUR
610317,BRIGHTON PARK
610127,PETERSON
610384,INFINITY HS
610063,MCCORMICK
610180,SMYTH
400177,KIPP CHICAGO - ASCEND PRIMARY
609718,KENNEDY HS
610263,DULLES
609974,HAWTHORNE
609755,YOUNG HS
610112,PARKER
400051,NOBLE - NOBLE HS
609978,SMITH
610293,MELODY
610300,WESTCOTT
610198,TAYLOR
400079,UNO - ZIZUMBO
610585,CAMELOT SAFE - GARFIELD HS
400074,SHABAZZ - SIZEMORE
610081,SHERIDAN
610015,JUNGMAN
609969,HARTE
610405,SUDER
610221,WEBSTER
400104,INSTITUTO - HEALTH
610269,MCCUTCHEON
610067,MCKAY
610131,PLAMONDON
610225,WHISTLER
610191,STONE
609867,COOPER
610215,MADERO
609921,TELPOCHCALLI
400151,LEARN - 7
609964,HAMLINE
610077,MORRILL
400094,EPIC HS
610521,DAVIS M
400150,YCCS - CHATHAM
610104,ONAHAN
609909,EVERETT
609786,AVALON PARK
609851,CHALMERS
610087,BLAIR
609844,CARTER
609926,FRANKLIN
609691,NORTH-GRAND HS
609806,BRADWELL
609960,HALE
400125,YCCS - ASPIRA PANTOJA
400085,UNO - GARCIA HS
400131,YCCS - CAMPOS
609976,HAYT
400098,NOBLE - MUCHIN HS
610231,NATIONAL TEACHERS
610544,AZUELA
610252,DETT
610088,MOZART
610518,VOISE HS
610502,MARINE MILITARY HS
609805,JOPLIN
610099,NORWOOD PARK
609813,BROWNELL
610391,LINDBLOM HS
610304,PHOENIX MILITARY HS
610504,THOMAS
609782,AUDUBON
610334,RABY HS
609768,HOPE HS
610234,YATES
610396,TARKINGTON
400061,PERSPECTIVES - LEADERSHIP HS
609833,CALDWELL
609751,KING HS
610570,OMBUDSMAN - SOUTH HS
609949,GRAY
610363,DISNEY
609728,ROOSEVELT HS
610524,ALCOTT HS
400049,LEGACY
609924,FORT DEARBORN
610076,MOOS
609756,CURIE HS
610021,CASALS
610354,NORTH RIVER
610065,TILL
610569,OMBUDSMAN - NORTHWEST HS
610175,SHOESMITH
400143,YCCS - WEST TOWN
609977,WOODLAWN
400149,UNO - SOCCER HS
400111,LEARN - PERKINS
609894,DRAKE
609947,GRAHAM ES
400133,YCCS - INNOVATIONS
609817,BUDLONG
400010,ACE TECH HS
610128,GARVEY
609929,FULTON
610237,BEETHOVEN
609693,WESTINGHOUSE HS
609954,GREGORY
610368,HUGHES L
400022,CHICAGO ARTS HS
610523,EDISON PARK
610158,SAYRE
610124,WASHINGTON H ES
610111,PALMER
609811,BRIGHT
610541,LORCA
400096,ROWE
610139,PULLMAN
400066,PERSPECTIVES - MATH & SCI HS
400034,CICS - NORTHTOWN HS
610183,SPENCER
610026,KINZIE
400086,URBAN PREP - ENGLEWOOD HS
609727,PHILLIPS HS
400064,PERSPECTIVES - JOSLIN HS
400123,YCCS - SCHOLASTIC ACHIEVEMENT
610402,DEVRY HS
610534,SKINNER NORTH
609741,HUBBARD HS
400168,GREAT LAKES
400146,KIPP CHICAGO - CREATE
609735,TILDEN HS
609754,CHICAGO MILITARY HS
609862,COLES
609855,CHRISTOPHER
400033,CICS - LONGWOOD
610078,INTER-AMERICAN
610362,EVERS
610041,LOCKE J
400161,CHICAGO COLLEGIATE
610282,MCNAIR
610208,LAVIZZO
400057,NOBLE - UIC HS
400175,CAMELOT - EXCEL WOODLAWN HS
610122,PEIRCE
610325,LOGANDALE
609991,HERZL
610308,RUDOLPH
610059,MAYER
610213,WADSWORTH
609783,JEFFERSON HS
609779,ARMSTRONG G
609828,BURR
610385,MULTICULTURAL HS
610043,LOVETT
610062,MCCLELLAN
609967,FINKL
610230,WILDWOOD
609942,GOETHE
610353,CALMECA
610561,CRANE MEDICAL HS
609710,HARLAN HS
609793,NICHOLSON
610089,MURPHY
610223,WENTWORTH
610574,PROLOGUE - WINNIE MANDELA HS
400030,CICS - WEST BELDEN
609676,DUNBAR HS
610006,HURLEY
400043,HOPE INSTITUTE
609912,FARNSWORTH
609707,ROBESON HS
609935,GALLISTEL
609808,HALEY
610568,PATHWAYS - AVONDALE HS
610002,HOYNE
610193,NEW SULLIVAN
609884,DEVER
609939,GILLESPIE
610256,ROBINSON
609925,KELLMAN
400024,CICS - BASIL
609943,OWENS
610167,SEWARD
